Word_ID,Word,Valence_Mean,Valence_SD,Valence_N,Arousal_Mean,Arousal_SD,Arousal_N,Men_Valence_Mean,Men_Valence_SD,Men_Valence_N,Women_Valence_Mean,Women_Valence_SD,Women_Valence_N,Men_Arousal_Mean,Men_Arousal_SD,Men_Arousal_N,Women_Arousal_Mean,Women_Arousal_SD,Women_Arousal_N,NOM,subTF,NOS,AOA,Compositionality,Concreteness,EER,Familiarity,Imageability,SER,sF,sNOM,ST,RT (ms),log_subTF,Exclusion_Reason,Candidate_Status
9469,牙齿,0.17,0.54,29,1.5,1.42,18,0.0,0.0,9,0.25,0.64,20,1.5,1.27,10,1.5,1.69,8,2,534,12,1.705882353,6.533333333,6.0,3.8,6.545454545,4.454545455,5.642857143,5.076923077,1.384615385,5.583333333,599.95,2.7283537820212285,,excluded
9472,牙刷,0.29,0.66,28,1.0,0.98,22,0.36,0.63,14,0.21,0.7,14,1.0,1.0,5,1.0,1.0,17,1,135,12,2.0,4.5,5.6875,3.333333333,6.545454545,3.0,4.705882353,4.4,1.3125,6.230769231,596.925,2.1335389083702174,,excluded
9489,烟囱,0.19,0.85,26,1.08,1.1,24,0.17,0.72,12,0.21,0.97,14,1.5,1.27,10,0.79,0.89,14,1,76,17,2.25,4.166666667,5.769230769,2.928571429,5.181818182,5.428571429,4.352941176,2.266666667,1.384615385,6.066666667,817.1238095,1.8864907251724818,,excluded
9496,淹没,-0.96,0.73,25,2.36,1.14,22,-0.8,0.79,10,-1.07,0.7,15,2.33,1.37,12,2.4,0.84,10,2,111,18,3.545454545,4.909090909,3.923076923,3.6875,5.863636364,6.333333333,3.764705882,3.357142857,1.416666667,4.5,679.39,2.0492180226701815,含否定成分,excluded
9500,延长,0.12,0.78,25,1.92,0.95,25,0.08,0.95,13,0.17,0.58,12,1.92,0.86,13,1.92,1.08,12,1,172,10,2.933333333,4.4,3.733333333,3.4375,5.272727273,5.857142857,3.375,4.3125,1.466666667,5.764705882,625.9555556,2.2380461031287955,,excluded
9505,严寒,-0.67,0.78,27,2.44,1.2,18,-0.56,0.81,16,-0.82,0.75,11,2.4,1.51,10,2.5,0.76,8,1,18,19,2.0,4.692307692,5.666666667,4.785714286,5.636363636,5.076923077,4.866666667,3.571428571,1.4,6.2,625.5071429,1.2787536009528289,,excluded
9506,严肃,0.15,0.97,26,2.21,1.15,29,0.22,1.09,9,0.12,0.93,17,2.42,1.0,12,2.06,1.25,17,3,551,15,2.466666667,4.866666667,5.066666667,4.25,5.80952381,5.642857143,4.5,4.3125,1.333333333,5.823529412,572.53,2.741939077729199,外部常模义项数>2,excluded
9507,严重,-1.42,0.93,24,3.23,0.76,31,-1.25,0.97,12,-1.58,0.9,12,3.22,0.97,9,3.23,0.69,22,1,2045,16,2.083333333,4.538461538,4.0,3.857142857,5.681818182,4.428571429,3.6875,4.5,1.733333333,5.4,539.0607143,3.3109056293761414,,excluded
9514,岩石,0.08,0.28,24,0.75,0.85,24,0.0,0.0,8,0.13,0.34,16,0.5,0.65,14,1.1,0.99,10,1,178,13,1.933333333,5.5,6.428571429,3.0,5.954545455,6.3125,4.8125,2.733333333,1.266666667,5.4375,633.2192308,2.2528530309798933,,excluded
9517,炎热,-0.19,1.1,26,2.83,1.07,23,0.33,1.23,12,-0.64,0.74,14,2.81,1.05,16,2.86,1.21,7,1,50,18,1.5,4.846153846,5.785714286,3.933333333,6.318181818,5.866666667,5.6875,3.4375,1.066666667,6.125,608.6,1.7075701760979363,,excluded
9520,研究,0.69,0.79,26,2.19,1.12,21,0.85,0.9,13,0.54,0.66,13,2.4,1.35,10,2.0,0.89,11,2,1596,16,2.6,5.333333333,3.714285714,3.1875,5.727272727,4.076923077,3.0,4.411764706,1.846153846,4.411764706,550.3464286,3.203304916138483,,excluded
9530,颜色,0.32,0.63,25,1.38,1.21,24,0.5,0.55,6,0.26,0.65,19,1.08,1.16,12,1.67,1.23,12,4,1138,21,1.857142857,4.75,6.25,4.5,6.954545455,4.357142857,4.666666667,4.75,1.642857143,6.625,534.6269231,3.0565237240791006,外部常模义项数>2,excluded
9535,掩护,0.54,1.02,24,1.96,1.27,25,0.75,0.87,12,0.33,1.15,12,2.45,1.13,11,1.57,1.28,14,3,499,18,3.538461538,4.615384615,4.818181818,2.666666667,5.545454545,4.727272727,2.6875,3.0,1.285714286,5.363636364,636.2357143,2.6989700043360187,外部常模义项数>2,excluded
9536,掩饰,-1.04,0.68,25,2.5,0.81,26,-0.9,0.57,10,-1.13,0.74,15,2.5,0.76,8,2.5,0.86,18,1,360,19,2.9,4.833333333,4.466666667,3.857142857,4.818181818,3.7,2.705882353,3.642857143,2.0,5.909090909,656.8846154,2.5575072019056577,,excluded
9538,眼光,0.73,0.92,26,2.08,1.09,26,0.91,0.83,11,0.6,0.99,15,1.94,1.18,16,2.3,0.95,10,4,306,17,3.142857143,2.75,3.6875,4.714285714,5.818181818,4.0,4.142857143,5.0,1.857142857,5.3125,575.1111111,2.4871383754771865,外部常模义项数>2,excluded
9540,眼睛,0.5,0.96,22,2.3,1.38,27,0.5,0.71,10,0.5,1.17,12,2.62,1.19,13,2.0,1.52,14,1,2758,24,1.583333333,4.769230769,6.642857143,5.076923077,6.80952381,5.714285714,5.6875,5.428571429,1.333333333,6.666666667,575.1777778,3.4407517004791854,,excluded
9541,眼镜,-0.13,0.54,24,1.38,1.02,26,-0.08,0.51,12,-0.17,0.58,12,0.71,0.76,7,1.63,1.01,19,1,497,27,2.066666667,4.6,6.1875,3.9375,6.523809524,4.2,4.866666667,5.857142857,1.333333333,6.266666667,556.88,2.6972293427597176,,excluded
9543,眼泪,-0.6,0.82,25,2.58,0.95,26,-0.69,0.85,13,-0.5,0.8,12,2.54,0.97,13,2.62,0.96,13,1,372,19,2.0,4.733333333,6.153846154,5.0625,6.909090909,6.384615385,5.866666667,3.714285714,1.357142857,6.411764706,585.8076923,2.571708831808688,,excluded
9547,演变,0.48,1.0,25,2.08,0.88,24,0.23,1.09,13,0.75,0.87,12,2.17,0.83,12,2.0,0.95,12,1,90,22,3.0,4.533333333,3.875,2.461538462,5.363636364,5.153846154,3.266666667,2.785714286,1.6,5.923076923,644.5733333,1.9590413923210936,,excluded
9548,演出,0.04,0.62,24,2.56,1.05,27,0.0,0.68,14,0.1,0.57,10,2.82,0.98,11,2.38,1.09,16,1,886,19,3.066666667,3.866666667,5.769230769,3.5625,5.714285714,5.153846154,3.6,4.5,1.6,6.0,550.5357143,2.9479236198317262,,excluded
9551,演讲,0.45,0.83,20,1.96,1.14,28,0.29,0.49,7,0.54,0.97,13,2.11,1.17,9,1.89,1.15,19,1,477,20,2.285714286,5.066666667,6.733333333,4.833333333,6.454545455,5.461538462,5.466666667,4.357142857,1.615384615,6.0,550.352,2.6794278966121188,,excluded
9555,演奏,0.64,0.86,25,1.52,1.12,23,0.5,0.97,10,0.73,0.8,15,1.69,1.03,13,1.3,1.25,10,1,314,23,3.083333333,4.909090909,6.428571429,3.133333333,5.238095238,3.461538462,4.416666667,4.357142857,1.875,5.7,578.632,2.4983105537896004,,excluded
9561,宴会,1.0,1.0,27,2.42,1.21,24,1.1,1.2,10,0.94,0.9,17,2.45,1.29,11,2.38,1.19,13,1,347,16,2.785714286,5.0,5.9375,3.076923077,6.090909091,6.142857143,5.333333333,3.8125,1.5,5.6875,637.9266667,2.5415792439465807,,excluded
9569,燕子,0.48,0.59,25,1.12,1.11,26,0.75,0.71,8,0.35,0.49,17,1.33,1.22,9,1.0,1.06,17,1,15,19,2.333333333,4.0,6.357142857,2.857142857,4.952380952,4.142857143,3.6875,2.285714286,1.2,6.2,516.1321429,1.2041199826559248,,excluded
9581,阳光,1.85,1.01,26,2.42,1.06,26,2.15,0.9,13,1.54,1.05,13,2.46,0.97,13,2.38,1.19,13,1,735,12,1.928571429,5.4,6.466666667,5.8,6.227272727,5.214285714,4.9375,5.066666667,1.8,6.933333333,493.9923077,2.866877814337499,,excluded
9602,氧化,-0.04,1.12,24,1.69,1.09,26,-0.36,0.93,14,0.4,1.26,10,1.75,1.04,8,1.67,1.14,18,1,74,14,2.769230769,4.833333333,5.785714286,2.071428571,5.5,4.916666667,3.4375,2.5,1.428571429,5.153846154,716.2375,1.8750612633917,,excluded
9603,氧气,1.04,1.11,23,1.96,1.49,24,1.44,1.24,9,0.79,0.97,14,1.69,1.38,13,2.27,1.62,11,1,203,14,2.545454545,3.461538462,5.909090909,2.384615385,6.318181818,6.0,4.352941176,2.133333333,1.307692308,6.461538462,595.8038462,2.3096301674258988,,excluded
9606,样子,-0.08,0.7,25,1.55,1.18,22,0.0,0.95,12,-0.15,0.38,13,1.47,1.06,15,1.71,1.5,7,4,3007,13,2.272727273,4.230769231,5.133333333,3.142857143,5.318181818,3.923076923,4.466666667,4.428571429,1.625,4.928571429,573.75,3.4782778319196046,外部常模义项数>2,excluded
9615,邀请,1.19,0.79,27,2.46,0.98,24,1.2,0.79,10,1.18,0.81,17,2.45,0.69,11,2.46,1.2,13,1,1500,26,2.176470588,4.533333333,4.0,3.666666667,6.181818182,2.454545455,2.857142857,4.307692308,1.538461538,4.833333333,641.2214286,3.1763806922432702,,excluded
9618,谣言,-1.85,0.86,27,2.56,1.15,27,-2.07,0.73,14,-1.62,0.96,13,2.36,1.34,14,2.77,0.93,13,1,282,19,3.333333333,3.6,4.533333333,4.4375,6.0,5.571428571,4.3125,3.6875,1.333333333,5.411764706,632.0571429,2.45178643552429,明显多义或语境依赖,excluded
9619,摇摆,-0.3,0.91,27,2.11,0.8,27,-0.64,0.63,14,0.08,1.04,13,2.14,0.86,14,2.08,0.76,13,1,149,26,2.533333333,4.071428571,5.642857143,3.25,5.285714286,6.0625,4.75,4.333333333,1.666666667,4.875,609.1666667,2.1760912590556813,,excluded
9621,摇晃,-0.25,0.74,24,1.74,1.21,23,-0.1,0.88,10,-0.36,0.63,14,1.4,0.84,10,2.0,1.41,13,1,91,23,3.0,5.538461538,5.214285714,3.142857143,5.285714286,5.416666667,4.733333333,3.285714286,1.615384615,5.125,685.7,1.9637878273455553,,excluded
9628,遥远,-0.14,0.97,28,1.64,1.15,25,0.0,1.04,12,-0.25,0.93,16,1.91,1.04,11,1.43,1.22,14,1,235,20,3.272727273,5.6,3.923076923,4.142857143,6.19047619,3.2,4.333333333,5.285714286,1.692307692,5.9,599.8583333,2.3729120029701067,,excluded
9639,药物,-0.08,0.93,26,2.52,1.08,25,0.18,0.75,11,-0.27,1.03,15,2.67,0.98,12,2.38,1.19,13,1,605,17,2.545454545,4.0,6.333333333,3.933333333,5.761904762,5.777777778,5.411764706,4.3125,1.272727273,6.142857143,643.08,2.782472624166286,,excluded
9640,要点,0.74,0.98,27,2.6,1.12,25,0.55,0.82,11,0.88,1.09,16,2.33,1.3,12,2.85,0.9,13,2,130,18,2.357142857,4.615384615,3.857142857,2.8,6.047619048,3.733333333,3.6875,4.1875,1.8,5.4375,607.8653846,2.1172712956557644,,excluded
9642,要紧,0.44,0.8,27,2.92,0.88,24,0.45,0.93,11,0.44,0.73,16,2.73,0.9,11,3.08,0.86,13,2,235,19,3.0,2.266666667,4.769230769,3.666666667,5.571428571,6.285714286,3.125,3.375,1.866666667,4.928571429,640.6366667,2.3729120029701067,,excluded
9644,要求,0.21,0.88,24,2.54,1.21,26,0.17,0.94,12,0.25,0.87,12,2.69,1.18,13,2.38,1.26,13,2,2731,16,2.923076923,4.25,3.909090909,2.923076923,6.227272727,5.545454545,2.352941176,4.461538462,1.461538462,5.181818182,541.6333333,3.436480695009495,,excluded
9650,耀眼,1.63,0.65,24,2.61,0.99,23,1.5,0.76,8,1.69,0.6,16,2.62,0.96,13,2.6,1.07,10,1,144,31,2.357142857,3.266666667,3.5,3.769230769,6.272727273,4.076923077,4.666666667,3.357142857,1.823529412,5.538461538,670.35,2.161368002234975,,excluded
9658,野兽,-1.23,0.75,22,2.75,1.17,28,-1.0,0.47,10,-1.42,0.9,12,2.71,1.14,14,2.79,1.25,14,1,310,22,2.0,4.071428571,6.0,3.375,5.285714286,6.125,5.0,3.666666667,1.2,5.625,570.5269231,2.4927603890268375,,excluded
9659,野心,-0.54,1.14,28,2.72,1.1,25,-0.42,1.0,12,-0.63,1.26,16,2.91,0.83,11,2.57,1.28,14,1,153,15,3.266666667,3.066666667,4.461538462,3.25,6.318181818,4.357142857,4.0,2.8125,1.5,5.0,581.0653846,2.187520720836463,,excluded
9662,业务,0.3,0.67,27,1.85,0.82,27,0.29,0.83,14,0.31,0.48,13,1.86,0.77,14,1.85,0.9,13,1,244,10,2.8,3.9,4.166666667,2.333333333,4.619047619,5.4,2.75,3.642857143,1.384615385,5.0,573.22,2.3891660843645326,,excluded
9668,叶子,0.54,0.81,26,1.21,1.1,24,0.73,1.01,11,0.4,0.63,15,1.42,1.0,12,1.0,1.21,12,2,90,8,1.25,4.866666667,6.5,2.666666667,6.0,4.866666667,4.941176471,3.4375,1.4,6.0625,586.2357143,1.9590413923210936,,excluded
9676,夜晚,0.05,0.21,22,1.5,0.96,22,0.13,0.35,8,0.0,0.0,14,1.08,0.79,12,2.0,0.94,10,1,858,19,2.066666667,6.1,6.5,3.75,6.863636364,4.7,5.0625,5.785714286,1.384615385,6.384615385,547.6769231,2.9339931638312424,,excluded
9679,液体,0.22,0.6,23,1.36,1.15,25,0.22,0.67,9,0.21,0.58,14,1.56,1.26,16,1.0,0.87,9,1,200,18,1.8,3.5,6.5,2.416666667,6.0,4.9,5.25,3.857142857,1.615384615,6.230769231,625.4576923,2.303196057420489,,excluded
9681,一般,0.12,0.95,26,1.27,0.88,22,0.31,0.95,13,-0.08,0.95,13,1.14,0.9,7,1.33,0.9,15,3,1788,11,1.615384615,2.214285714,1.307692308,3.0625,5.95,2.75,2.882352941,5.733333333,1.833333333,4.2,598.3346154,3.252610340567373,外部常模义项数>2,excluded
9711,一样,0.0,0.55,27,1.35,1.15,23,-0.18,0.6,11,0.13,0.5,16,1.3,1.49,10,1.38,0.87,13,4,5906,11,1.588235294,2.466666667,3.4,3.0,5.818181818,5.272727273,3.357142857,6.0,1.833333333,5.0,568.728,3.771366970857781,外部常模义项数>2,excluded
9716,衣服,0.25,0.61,24,1.78,1.31,27,0.14,0.38,7,0.29,0.69,17,1.88,1.17,17,1.6,1.58,10,1,3326,14,1.857142857,6.0,6.692307692,4.785714286,6.363636364,4.25,4.352941176,6.0,1.4,5.9375,562.9307692,3.5220528008688223,,excluded
9721,医疗,0.77,1.11,26,2.48,0.87,21,0.85,1.28,13,0.69,0.95,13,2.4,0.97,10,2.55,0.82,11,2,664,14,2.571428571,4.923076923,5.533333333,3.571428571,5.454545455,3.416666667,3.466666667,3.714285714,1.384615385,5.125,571.3192308,2.8228216453031045,,excluded
9722,医生,0.97,1.06,34,2.7,1.02,23,1.0,1.08,13,0.95,1.07,21,3.13,0.83,15,1.88,0.83,8,1,3079,12,1.461538462,3.769230769,6.0,3.285714286,6.636363636,4.461538462,4.076923077,3.846153846,1.529411765,6.571428571,531.7535714,3.4885507165004443,,excluded
9725,医学,0.82,1.31,28,2.92,1.12,25,0.75,0.87,12,0.88,1.59,16,3.18,1.08,11,2.71,1.14,14,1,432,15,2.411764706,3.333333333,4.0,3.4,5.5,5.454545455,3.071428571,4.153846154,1.538461538,4.75,613.3310345,2.6364878963533656,,excluded
9726,医药,0.77,1.07,26,1.86,1.13,22,0.77,1.09,13,0.77,1.09,13,1.67,1.03,6,1.94,1.18,16,1,100,16,2.25,5.866666667,6.5,3.25,4.909090909,3.866666667,3.764705882,3.375,1.466666667,5.625,646.7846154,2.0043213737826426,,excluded
9728,依旧,0.2,0.62,20,1.46,1.03,26,0.08,0.64,13,0.43,0.53,7,1.29,0.99,14,1.67,1.07,12,2,221,13,2.2,4.533333333,2.933333333,4.0,5.238095238,5.285714286,3.5625,5.125,1.6,5.058823529,635.5821429,2.346352974450639,,excluded
9729,依靠,0.73,1.0,26,2.36,1.08,25,0.93,1.03,15,0.45,0.93,11,2.58,1.0,12,2.15,1.14,13,2,504,23,2.615384615,4.642857143,4.0625,4.066666667,6.045454545,5.666666667,3.058823529,3.8,1.6875,5.615384615,580.7296296,2.7032913781186614,,excluded
9730,依赖,-0.12,1.14,26,1.91,0.97,22,-0.27,1.27,11,0.0,1.07,15,1.92,0.9,12,1.9,1.1,10,2,258,21,3.272727273,3.384615385,5.454545455,3.923076923,6.181818182,3.9,4.705882353,4.533333333,1.230769231,5.538461538,559.2592593,2.413299764081252,,excluded
9732,依照,0.28,0.61,25,1.88,1.18,26,0.2,0.56,15,0.4,0.7,10,2.0,1.13,12,1.79,1.25,14,1,95,21,2.2,4.714285714,1.933333333,2.5,5.80952381,4.769230769,2.625,3.615384615,1.307692308,4.0,627.7551724,1.9822712330395684,,excluded
9733,仪表,0.5,0.6,22,1.93,1.21,28,0.5,0.53,10,0.5,0.67,12,2.29,1.14,14,1.57,1.22,14,1,64,13,2.75,4.916666667,5.923076923,3.714285714,6.0,5.5,4.176470588,3.071428571,1.692307692,5.0,657.3321429,1.8129133566428555,,excluded
9734,仪器,0.29,0.75,24,1.54,1.03,26,0.13,0.52,15,0.56,1.01,9,1.67,0.89,12,1.43,1.16,14,1,221,21,3.2,3.416666667,6.266666667,2.928571429,5.363636364,4.6,3.941176471,3.857142857,1.307692308,6.272727273,567.8703704,2.346352974450639,,excluded
9742,移动,0.27,0.83,26,2.04,1.14,25,0.46,1.13,13,0.08,0.28,13,2.25,1.22,12,1.85,1.07,13,1,808,17,1.933333333,5.142857143,4.333333333,3.230769231,6.681818182,4.916666667,4.470588235,4.785714286,1.875,5.933333333,609.9111111,2.9079485216122722,,excluded
