condition,participant_id,face_emotion,face_valence,word,word_valence,word_Valence_Mean,word_Arousal_Mean,word_subTF,word_Familiarity,word_NOM,jitter,iti,facepath
负性一致,woman_sub45,anger,negative,凶  狠,negative,-1.8,3.04,52,6.045454545,1,0.35,0.87,Session_01/Emotional_faces_gray/woman_sub45/anger.jpg
正脸负词,woman_sub2,happiness,positive,慌  张,negative,-1.52,2.84,80,6.454545455,1,0.31,0.94,Session_01/Emotional_faces_gray/woman_sub2/happiness.jpg
负脸正词,man_sub46,fear,negative,亲  切,positive,1.8,2.38,148,6.0,2,0.39,1.04,Session_01/Emotional_faces_gray/man_sub46/fear.jpg
正脸负词,woman_sub56,happiness,positive,焦  急,negative,-1.52,2.86,51,5.714285714,1,0.43,1.12,Session_01/Emotional_faces_gray/woman_sub56/happiness.jpg
正性一致,woman_sub36,happiness,positive,可  靠,positive,2.08,2.22,524,6.181818182,2,0.46,1.13,Session_01/Emotional_faces_gray/woman_sub36/happiness.jpg
负脸正词,woman_sub14,disgust,negative,勤  劳,positive,2.26,2.25,44,5.904761905,1,0.45,0.82,Session_01/Emotional_faces_gray/woman_sub14/disgust.jpg
负性一致,woman_sub31,anger,negative,卑  鄙,negative,-2.3,2.47,458,5.857142857,2,0.43,1.06,Session_01/Emotional_faces_gray/woman_sub31/anger.jpg
正性一致,woman_sub25,happiness,positive,美  德,positive,2.22,2.26,71,5.545454545,1,0.39,1.01,Session_01/Emotional_faces_gray/woman_sub25/happiness.jpg
正脸负词,man_sub20,happiness,positive,嘲  笑,negative,-1.73,2.67,675,4.947368421,1,0.44,1.07,Session_01/Emotional_faces_gray/man_sub20/happiness.jpg
负脸正词,man_sub24,fear,negative,杰  出,positive,2.38,3.04,256,5.904761905,1,0.47,0.98,Session_01/Emotional_faces_gray/man_sub24/fear.jpg
负脸正词,woman_sub54,disgust,negative,活  泼,positive,1.96,3.0,131,5.272727273,1,0.39,0.81,Session_01/Emotional_faces_gray/woman_sub54/disgust.jpg
正脸负词,man_sub59,happiness,positive,急  躁,negative,-1.46,3.04,54,6.545454545,2,0.37,0.83,Session_01/Emotional_faces_gray/man_sub59/happiness.jpg
正脸负词,man_sub57,happiness,positive,仇  恨,negative,-2.33,2.35,253,5.363636364,1,0.3,0.85,Session_01/Emotional_faces_gray/man_sub57/happiness.jpg
正性一致,woman_sub58,happiness,positive,荣  誉,positive,2.31,2.95,487,6.318181818,1,0.39,0.85,Session_01/Emotional_faces_gray/woman_sub58/happiness.jpg
负性一致,man_sub48,anger,negative,歪  曲,negative,-1.6,1.76,57,4.681818182,1,0.35,0.99,Session_01/Emotional_faces_gray/man_sub48/anger.jpg
负脸正词,man_sub15,anger,negative,自  豪,positive,2.0,2.73,770,6.0,1,0.4,1.04,Session_01/Emotional_faces_gray/man_sub15/anger.jpg
正性一致,woman_sub52,happiness,positive,表  扬,positive,2.16,3.33,114,5.954545455,1,0.4,1.11,Session_01/Emotional_faces_gray/woman_sub52/happiness.jpg
负性一致,man_sub11,sadness,negative,急  躁,negative,-1.46,3.04,54,6.545454545,2,0.44,0.87,Session_01/Emotional_faces_gray/man_sub11/sadness.jpg
正脸负词,woman_sub37,happiness,positive,凶  狠,negative,-1.8,3.04,52,6.045454545,1,0.45,0.99,Session_01/Emotional_faces_gray/woman_sub37/happiness.jpg
正性一致,man_sub16,happiness,positive,热  情,positive,1.93,2.88,763,6.363636364,2,0.38,1.18,Session_01/Emotional_faces_gray/man_sub16/happiness.jpg
负性一致,man_sub52,fear,negative,卑  鄙,negative,-2.3,2.47,458,5.857142857,2,0.38,0.97,Session_01/Emotional_faces_gray/man_sub52/fear.jpg
正性一致,man_sub28,happiness,positive,欢  笑,positive,2.17,2.79,161,5.0,1,0.31,0.8,Session_01/Emotional_faces_gray/man_sub28/happiness.jpg
负脸正词,man_sub38,anger,negative,赞  扬,positive,2.21,2.65,113,6.19047619,1,0.36,1.0,Session_01/Emotional_faces_gray/man_sub38/anger.jpg
负脸正词,woman_sub22,sadness,negative,赞  美,positive,2.08,3.11,294,5.363636364,1,0.46,0.92,Session_01/Emotional_faces_gray/woman_sub22/sadness.jpg
负脸正词,woman_sub51,anger,negative,伟  大,positive,2.23,2.77,1392,5.904761905,1,0.46,0.99,Session_01/Emotional_faces_gray/woman_sub51/anger.jpg
正性一致,woman_sub39,happiness,positive,亲  切,positive,1.8,2.38,148,6.0,2,0.43,1.18,Session_01/Emotional_faces_gray/woman_sub39/happiness.jpg
负脸正词,woman_sub40,fear,negative,刻  苦,positive,1.92,2.5,60,6.136363636,2,0.45,1.05,Session_01/Emotional_faces_gray/woman_sub40/fear.jpg
负脸正词,woman_sub45,anger,negative,坚  定,positive,2.11,2.89,253,6.045454545,2,0.4,1.1,Session_01/Emotional_faces_gray/woman_sub45/anger.jpg
正脸负词,woman_sub42,happiness,positive,恐  惧,negative,-1.92,2.93,990,6.227272727,1,0.39,1.1,Session_01/Emotional_faces_gray/woman_sub42/happiness.jpg
